epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7227.44,0.19076,0.20114,0.78649,0.9862,0.98057,0.98097,0.97278,0.12517,0.11849,0.77439,0.005842,0.005842,0.005842
44,7395.44,0.1895,0.19905,0.78463,0.98626,0.98052,0.98096,0.97286,0.12506,0.11845,0.77441,0.005743,0.005743,0.005743
45,7563.01,0.1893,0.1994,0.78692,0.98628,0.98052,0.98073,0.97248,0.12506,0.11808,0.77436,0.005644,0.005644,0.005644
46,7728.71,0.18976,0.19677,0.78496,0.9862,0.98052,0.98073,0.9724,0.12495,0.11792,0.77435,0.005545,0.005545,0.005545
47,7894.26,0.18873,0.1995,0.78542,0.98623,0.98052,0.98074,0.97246,0.12494,0.11814,0.77438,0.005446,0.005446,0.005446
48,8061.45,0.18875,0.19858,0.78596,0.9862,0.98052,0.98057,0.97225,0.12497,0.11815,0.77439,0.005347,0.005347,0.005347
49,8226.89,0.18989,0.19866,0.78534,0.9862,0.98052,0.98076,0.97253,0.12494,0.11835,0.77437,0.005248,0.005248,0.005248
50,8391.3,0.18715,0.19727,0.78591,0.98619,0.98054,0.98078,0.97248,0.12501,0.11865,0.77448,0.005149,0.005149,0.005149
51,8556.5,0.18818,0.19726,0.78641,0.98619,0.98054,0.98077,0.97254,0.12496,0.11834,0.77447,0.00505,0.00505,0.00505
52,8721.17,0.18696,0.19774,0.78361,0.98615,0.98052,0.98075,0.97244,0.1251,0.11809,0.77439,0.004951,0.004951,0.004951
53,8886.77,0.1849,0.19414,0.78486,0.98635,0.98052,0.98051,0.97237,0.12504,0.11745,0.77428,0.004852,0.004852,0.004852
54,9051.66,0.18751,0.19905,0.78508,0.98651,0.98052,0.98099,0.97288,0.12504,0.11748,0.77425,0.004753,0.004753,0.004753
55,9217.87,0.18708,0.19671,0.78368,0.98638,0.98052,0.98071,0.97263,0.12488,0.11725,0.77422,0.004654,0.004654,0.004654
56,9382.72,0.18516,0.19452,0.78464,0.98643,0.98052,0.98108,0.97302,0.1249,0.11747,0.77423,0.004555,0.004555,0.004555
57,9549.41,0.18423,0.19426,0.78438,0.9864,0.98052,0.98044,0.97235,0.12495,0.11751,0.77416,0.004456,0.004456,0.004456
58,9715.04,0.18388,0.19294,0.78554,0.9862,0.98052,0.98069,0.97287,0.1249,0.11703,0.77415,0.004357,0.004357,0.004357
59,9882.7,0.18316,0.19085,0.78374,0.98619,0.98052,0.98082,0.97286,0.125,0.11696,0.7741,0.004258,0.004258,0.004258
60,10049.4,0.18294,0.19184,0.78403,0.98618,0.98052,0.98092,0.97292,0.12501,0.11708,0.77411,0.004159,0.004159,0.004159
61,10216.1,0.18203,0.19083,0.78468,0.98621,0.98052,0.98089,0.97286,0.12501,0.11657,0.77404,0.00406,0.00406,0.00406
62,10381.5,0.1815,0.18814,0.78453,0.98627,0.98052,0.98083,0.97276,0.1252,0.11682,0.77401,0.003961,0.003961,0.003961
63,10547.2,0.18288,0.19138,0.78507,0.98632,0.98052,0.98081,0.97271,0.12497,0.11641,0.77399,0.003862,0.003862,0.003862
64,10713.8,0.18041,0.1889,0.78268,0.98663,0.98015,0.98081,0.97268,0.12486,0.11629,0.77395,0.003763,0.003763,0.003763
65,10879.6,0.17949,0.18748,0.78341,0.98663,0.98017,0.98087,0.97297,0.12472,0.11606,0.77398,0.003664,0.003664,0.003664
66,11046.5,0.17868,0.18767,0.78453,0.98663,0.9802,0.98084,0.97283,0.12463,0.11599,0.77396,0.003565,0.003565,0.003565
67,11212.7,0.1779,0.18699,0.78375,0.98663,0.98023,0.98083,0.97301,0.12446,0.11572,0.77388,0.003466,0.003466,0.003466
68,11379.5,0.17792,0.186,0.78275,0.98663,0.98022,0.98072,0.97281,0.12447,0.11579,0.77375,0.003367,0.003367,0.003367
69,11544.8,0.17917,0.18588,0.78394,0.98663,0.98004,0.98048,0.97283,0.12426,0.11536,0.77371,0.003268,0.003268,0.003268
70,11708.1,0.17787,0.18596,0.78407,0.98663,0.98023,0.9807,0.97294,0.12415,0.11458,0.77376,0.003169,0.003169,0.003169
71,11873.4,0.177,0.18476,0.78335,0.98684,0.97984,0.9809,0.97315,0.12399,0.1145,0.77372,0.00307,0.00307,0.00307
72,12039.6,0.17671,0.18652,0.78341,0.98685,0.97985,0.98071,0.97307,0.12394,0.11419,0.77378,0.002971,0.002971,0.002971
73,12205.7,0.17664,0.18301,0.78347,0.98663,0.98032,0.98084,0.9732,0.12385,0.1143,0.77358,0.002872,0.002872,0.002872
74,12373,0.17394,0.18245,0.78333,0.98658,0.9803,0.98076,0.97324,0.12379,0.11367,0.77321,0.002773,0.002773,0.002773
75,12538.9,0.17401,0.18158,0.78315,0.98663,0.98038,0.98082,0.97339,0.12363,0.11355,0.7728,0.002674,0.002674,0.002674
76,12705.9,0.17395,0.18134,0.78193,0.98653,0.9803,0.98083,0.97353,0.12344,0.11325,0.77278,0.002575,0.002575,0.002575
77,12873.1,0.17254,0.17817,0.78271,0.98663,0.98034,0.98094,0.97364,0.12326,0.1125,0.77281,0.002476,0.002476,0.002476
78,13039.9,0.17105,0.17736,0.78212,0.98662,0.9803,0.98103,0.97376,0.12311,0.11236,0.7727,0.002377,0.002377,0.002377
79,13207,0.17241,0.17798,0.7833,0.9868,0.9803,0.9811,0.97358,0.12277,0.11242,0.77265,0.002278,0.002278,0.002278
80,13373.8,0.17115,0.17712,0.78199,0.98674,0.9803,0.98104,0.97371,0.12266,0.11226,0.77268,0.002179,0.002179,0.002179
81,13537.8,0.17017,0.17669,0.78307,0.98673,0.9803,0.98107,0.97371,0.12283,0.11191,0.77293,0.00208,0.00208,0.00208
82,13702,0.17019,0.17641,0.78193,0.98671,0.9803,0.98084,0.97348,0.12266,0.11189,0.77288,0.001981,0.001981,0.001981
83,13867.9,0.16853,0.17548,0.78106,0.98668,0.9803,0.98071,0.97321,0.12267,0.11134,0.77308,0.001882,0.001882,0.001882
84,14034,0.16852,0.1766,0.78099,0.98665,0.9803,0.98117,0.97387,0.12255,0.1116,0.77335,0.001783,0.001783,0.001783
85,14201.8,0.16686,0.17251,0.78019,0.98665,0.9803,0.98109,0.97362,0.12238,0.11101,0.77349,0.001684,0.001684,0.001684
86,14368.5,0.16692,0.17169,0.78226,0.98661,0.9803,0.98124,0.97375,0.12238,0.11102,0.77374,0.001585,0.001585,0.001585
87,14533.7,0.16551,0.17094,0.78123,0.98663,0.98033,0.98129,0.97401,0.1224,0.11109,0.77367,0.001486,0.001486,0.001486
88,14701.5,0.16492,0.16912,0.78172,0.98663,0.98033,0.98136,0.97403,0.12223,0.11062,0.77381,0.001387,0.001387,0.001387
89,14868.2,0.1638,0.16909,0.78252,0.98663,0.98037,0.98131,0.97393,0.12225,0.11036,0.77393,0.001288,0.001288,0.001288
90,15034.2,0.16281,0.16613,0.78107,0.98658,0.9803,0.98132,0.97405,0.12211,0.10988,0.7741,0.001189,0.001189,0.001189
91,15198,0.16589,0.16396,0.77053,0.9866,0.9803,0.98143,0.9741,0.12213,0.10981,0.77426,0.00109,0.00109,0.00109
92,15360.6,0.16406,0.16154,0.77059,0.98641,0.98045,0.98152,0.97425,0.12208,0.10968,0.77422,0.000991,0.000991,0.000991
93,15523.5,0.16338,0.16149,0.77053,0.98641,0.98052,0.98163,0.97437,0.12194,0.10956,0.77414,0.000892,0.000892,0.000892
94,15686.3,0.16239,0.15743,0.76959,0.98641,0.98052,0.9817,0.9745,0.12198,0.10944,0.77402,0.000793,0.000793,0.000793
95,15850,0.15953,0.155,0.76801,0.9864,0.98074,0.98187,0.97482,0.12194,0.1089,0.77408,0.000694,0.000694,0.000694
96,16012.2,0.15955,0.15505,0.76993,0.98639,0.98074,0.98193,0.97492,0.12179,0.10945,0.7738,0.000595,0.000595,0.000595
97,16174.9,0.15811,0.15182,0.76906,0.98642,0.98079,0.98191,0.97494,0.12157,0.10918,0.77365,0.000496,0.000496,0.000496
98,16337.7,0.15639,0.14924,0.76874,0.98642,0.98078,0.98188,0.97486,0.12155,0.10854,0.77359,0.000397,0.000397,0.000397
99,16500.4,0.15528,0.14893,0.76742,0.98646,0.98074,0.98193,0.97481,0.12142,0.10871,0.77365,0.000298,0.000298,0.000298
100,16663.7,0.1524,0.14499,0.76694,0.98651,0.98074,0.98199,0.97489,0.12126,0.10789,0.77351,0.000199,0.000199,0.000199
